Title	URL	Date	Unique Pageviews
Preparing and Starting DS career	http://www.datasciencecentral.com/forum/topic/show?id=6448529:Topic:242750	20-Jan-15	163
The Rogue Data Scientist	http://www.datasciencecentral.com/forum/topic/show?id=6448529:Topic:273425	4-May-15	1108
Is it safe to code after one bottle of wine?	http://www.datasciencecentral.com/forum/topic/show?id=6448529:Topic:349416	9-Nov-15	1736
Short-Term Forecasting of Electricity Demand	http://www.datasciencecentral.com/forum/topic/show?id=6448529:Topic:350421	12-Nov-15	1117
Visual directory of 339 tools. Wow!	http://www.datasciencecentral.com/forum/topic/show?id=6448529:Topic:373786	14-Jan-16	4228
8 Types of Data	http://www.datasciencecentral.com/forum/topic/show?id=6448529:Topic:377008	23-Jan-16	2829
Very funny video for people who write code	http://www.datasciencecentral.com/forum/topic/show?id=6448529:Topic:379578	30-Jan-16	2444
Another funny picture about programmers	http://www.datasciencecentral.com/forum/topic/show?id=6448529:Topic:381447	3-Feb-16	1087
Facebook Shares Large Data Sets to Help Improve its AI and Data ScienceAlgorithms	http://www.datasciencecentral.com/forum/topic/show?id=6448529:Topic:389619	19-Feb-16	1344
Free Book: Probabilistic and Statistical Modeling in Computer Science	http://www.datasciencecentral.com/forum/topic/show?id=6448529:Topic:400821	13-Mar-16	2889
Top 10 Machine Learning Algorithms	http://www.datasciencecentral.com/forum/topics/0-top-machine-learning-algorithms	11-Mar-16	14352
100 articles about Data Science with Excel	http://www.datasciencecentral.com/forum/topics/100-articles-about-data-science-with-excel	24-May-15	5051
"100+ R tutorials, code snippets, libraries and resources"	http://www.datasciencecentral.com/forum/topics/100-r-tutorials-code-snippets-libraries-and-resources	26-May-15	5947
10 Cloud Trends for 2016 - Whitepaper	http://www.datasciencecentral.com/forum/topics/10-cloud-trends-for-2016-whitepaper?groupUrl=announcements	3-Feb-16	156
10 simple techniques to make data useful and beautiful	http://www.datasciencecentral.com/forum/topics/10-simple-techniques-to-make-data-useful-and-beautiful?groupUrl=announcements	14-Aug-14	527
10 types of regressions. Which one to use?	http://www.datasciencecentral.com/forum/topics/10-types-of-regressions-which-one-to-use?groupUrl=resources	4-Aug-14	89647
1.5 TB dataset of anonymized user interactions released by Yahoo	http://www.datasciencecentral.com/forum/topics/1-5-tb-dataset-of-anonymized-user-interactions-released-by-yahoo	14-Jan-16	1837
27 Job Interview Mistakes for Data Scientists	http://www.datasciencecentral.com/forum/topics/27-job-interview-mistakes-for-data-scientists?groupUrl=announcements	1-Mar-16	367
"$320,000 for a Java architect: Discussion about High Salaries"	http://www.datasciencecentral.com/forum/topics/320-000-java-architect-developer-with-cloud-computing-and-big-dat	12-Jun-15	3218
"3-D Visualizations with rotating charts, for small and big data"	http://www.datasciencecentral.com/forum/topics/3-d-visualizations-for-small-and-big-data	5-Apr-13	7780
"50+ types of sensor, social, system, and interaction data"	http://www.datasciencecentral.com/forum/topics/50-types-of-sensor-social-system-and-interaction-data	9-Nov-15	285
$5 million prize for A.I. targets the 'dystopian conversation'	http://www.datasciencecentral.com/forum/topics/5-million-prize-for-a-i-targets-the-dystopian-conversation	20-Feb-16	312
5 Things Your Spreadsheets Can't Do	http://www.datasciencecentral.com/forum/topics/5-things-your-spreadsheets-can-t-do?groupUrl=announcements	3-Mar-16	625
Being obese is worse than smoking. Do you agree? How do you measure costs?	http://www.datasciencecentral.com/forum/topics/6448529:Topic:17254	11-Jun-12	1759
7 Trends in Big Data - White Paper	http://www.datasciencecentral.com/forum/topics/7-trends-in-big-data-white-paper?groupUrl=announcements	10-Feb-15	890
9 mistakes that will kill the best data analyses	http://www.datasciencecentral.com/forum/topics/9-mistakes-that-will-kill-the-best-data-analyses	1-Oct-12	1056
Analytics and Data Science Contests	http://www.datasciencecentral.com/forum/topics/analytics-and-data-science-contests	21-Apr-15	122
Analytics as as Service: which companies offer AaaS?	http://www.datasciencecentral.com/forum/topics/analytics-as-as-service-which-companies-offer-aaas	24-May-12	448
Analytics in Banking/Finance	http://www.datasciencecentral.com/forum/topics/analytics-in-banking-finance	13-Nov-13	814
Analytics on cab company data	http://www.datasciencecentral.com/forum/topics/analytics-on-cab-company-data	26-May-13	163
Analytics tools in Healthcare Industry	http://www.datasciencecentral.com/forum/topics/analytics-tools-in-healthcare-industry	24-Feb-14	163
Analytic thinking to identify the right God?	http://www.datasciencecentral.com/forum/topics/analytic-thinking-to-identify-the-right-god	22-Sep-12	163
A new version of the famous 3V diagram from Drew Conway	http://www.datasciencecentral.com/forum/topics/a-new-version-of-the-famous-3v-diagram-from-drew-conway	9-Oct-14	2648
An Excel Tutorial on Analyzing Large Data Sets	http://www.datasciencecentral.com/forum/topics/an-excel-tutorial-on-analyzing-large-data-sets?groupUrl=tutorials	18-Apr-15	5608
"An Exclusive Interview with Data Expert, John Bottega"	http://www.datasciencecentral.com/forum/topics/an-exclusive-interview-with-data-expert-john-bottega?groupUrl=announcements	10-Jun-14	360
Announcing Composable Analytics	http://www.datasciencecentral.com/forum/topics/announcing-composable-analytics	15-Jun-14	367
Announcing the release of Spark 1.5	http://www.datasciencecentral.com/forum/topics/announcing-the-release-of-spark-1-5	12-Sep-15	156
Are Extreme Weather Events More Frequent? The Data Science Answer	http://www.datasciencecentral.com/forum/topics/are-extreme-weather-events-more-frequent-the-data-science-answer	5-Oct-15	204
Are you interested in joining the University of California for an empiricalstudy on 'Big Data'?	http://www.datasciencecentral.com/forum/topics/are-you-interested-in-joining-the-university-of-california-for-an	7-Feb-13	204
Are you smart enough to work at Google?	http://www.datasciencecentral.com/forum/topics/are-you-smart-enough-to-work-at-google	11-Oct-15	3625
"As a software engineer, what's the best skill set to have for the next 5-10years?"	http://www.datasciencecentral.com/forum/topics/as-a-software-engineer-what-s-the-best-skill-set-to-have-for-the-	12-Feb-16	2815
A Statistician's View on Big Data and Data Science (Updated)	http://www.datasciencecentral.com/forum/topics/a-statistician-s-view-on-big-data-and-data-science-updated-1	21-May-14	163
A synthetic variance designed for Hadoop and big data	http://www.datasciencecentral.com/forum/topics/a-synthetic-variance-designed-for-hadoop-and-big-data?groupUrl=research	26-May-14	575
A Tough Calculus Question	http://www.datasciencecentral.com/forum/topics/a-tough-calculus-question	10-Feb-16	937
Attribution Modeling: Key Analytical Strategy to Boost Marketing ROI	http://www.datasciencecentral.com/forum/topics/attribution-modeling-key-concept	24-Oct-15	937
Audience expansion	http://www.datasciencecentral.com/forum/topics/audience-expansion	6-May-13	223
Automatic use of insights	http://www.datasciencecentral.com/forum/topics/automatic-use-of-insights	27-Aug-15	122
Average length of dissertations by higher education discipline.	http://www.datasciencecentral.com/forum/topics/average-length-of-dissertations-by-higher-education-discipline	4-Jun-15	1303
Best kept secret about data science competitions	http://www.datasciencecentral.com/forum/topics/best-kept-secret-about-data-science-competitions?groupUrl=resources	20-Jun-14	15420
Best method for revenue and sales forecasting	http://www.datasciencecentral.com/forum/topics/best-method-for-revenue-and-sales-forecasting	29-Oct-14	1152
Best Practices for Achieving BI Agility - TDWI White Paper	http://www.datasciencecentral.com/forum/topics/best-practices-for-achieving-bi-agility-tdwi-white-paper?groupUrl=announcements	29-Jul-14	122
Beyond Internet of Things (IOT) or Industrial Internet of Things (IIOT)	http://www.datasciencecentral.com/forum/topics/beyond-internet-of-things-iot-or-industrial-internet-of-things	5-Mar-15	326
Big Data	http://www.datasciencecentral.com/forum/topics/big-data	20-Jan-14	122
Big Data Analytics London 2015 - Complimentary Pass	http://www.datasciencecentral.com/forum/topics/big-data-analytics-london-2015-complimentary-pass?groupUrl=announcements	16-Apr-15	313
Big data and Data Science Online Training	http://www.datasciencecentral.com/forum/topics/big-data-and-data-science-online-training	9-Nov-15	204
"Big Data, Hadoop, Data Science Courses: Big Discount Ends 12/22"	http://www.datasciencecentral.com/forum/topics/big-data-hadoop-data-science-courses-big-discount-ends-12-22?groupUrl=announcements	11-Dec-14	846
Big Data &amp; Hadoop Online Training by Simplilearn	http://www.datasciencecentral.com/forum/topics/big-data-hadoop-online-training-by-simplilearn	22-Oct-13	774
Big data landscape 2016	http://www.datasciencecentral.com/forum/topics/big-data-landscape-2016	9-Feb-16	5132
Big data (public and private) for personalized medicine	http://www.datasciencecentral.com/forum/topics/big-data-public-and-private-for-personalized-medicine	13-Jul-14	223
Big Data services provider	http://www.datasciencecentral.com/forum/topics/big-data-services-provider	31-Aug-12	186
Big Data Tutorial Paper with Video Introduction	http://www.datasciencecentral.com/forum/topics/big-data-tutorial-paper-with-video-introduction	25-Aug-14	896
Book: Deep Learning With Python	http://www.datasciencecentral.com/forum/topics/book-deep-learning-with-python	18-May-16	5800
Book: Mastering Python for Data Science	http://www.datasciencecentral.com/forum/topics/book-mastering-python-for-data-science	13-Apr-16	1863
Book: Practical Machine Learning - A New Look At Anomaly Detection	http://www.datasciencecentral.com/forum/topics/book-practical-machine-learning-a-new-look-at-anomaly-detection?groupUrl=announcements	5-Jul-14	950
Books on demand - new publishing model	http://www.datasciencecentral.com/forum/topics/books-on-demand-new-publishing-model	15-Jun-13	692
"How to produce sounds in Python, R, Java, C, Perl, Javascript or even Linux?"	http://www.datasciencecentral.com/forum/topics/bow-to-produce-sounds-in-python-r-jave-or-c-perl-or-even-linux	5-Mar-16	2033
Building Dashboards That Flow - Tableau	http://www.datasciencecentral.com/forum/topics/building-dashboards-that-flow-tableau?groupUrl=announcements	10-Mar-15	464
Business Analysis and Modeling	http://www.datasciencecentral.com/forum/topics/business-analysis-and-modeling	3-Feb-14	408
Business Models for the Data Economy	http://www.datasciencecentral.com/forum/topics/business-models-for-the-data-economy?groupUrl=announcements	11-Nov-14	1158
Can any data structure be represented by one-dimensional arrays?	http://www.datasciencecentral.com/forum/topics/can-any-data-structured-be-efficiently-represented-by-one-dimensi	18-May-12	733
Can clothes cause cancer?	http://www.datasciencecentral.com/forum/topics/can-clothes-cause-cancer	28-Mar-14	334
Can data science solves the 'Mars rat' mystery?	http://www.datasciencecentral.com/forum/topics/can-data-science-solve-the-the-mars-rat-mystery	3-Jun-13	1141
Can data scientists replace business analysts?	http://www.datasciencecentral.com/forum/topics/can-data-scientists-replace-business-analysts	8-Dec-12	3014
Can we use data science to measure distances to stars?	http://www.datasciencecentral.com/forum/topics/can-we-use-data-science-to-measure-distances-to-stars	25-May-12	407
Can we use Lubuntu and Ubuntu server for Hadoop Cluster?	http://www.datasciencecentral.com/forum/topics/can-we-use-lubuntu-and-ubuntu-server-for-hadoop-cluster	27-Sep-14	111
Car accident statistics by profession	http://www.datasciencecentral.com/forum/topics/car-accident-statistics-by-profession	9-May-13	2541
Career Change	http://www.datasciencecentral.com/forum/topics/career-change	9-Dec-13	1222
Career change into data science	http://www.datasciencecentral.com/forum/topics/career-change-into-data-science	4-Sep-13	4868
Case Study: How to use analytics to drive customer loyalty	http://www.datasciencecentral.com/forum/topics/case-study-how-to-use-analytics-to-drive-customer-loyalty?groupUrl=announcements	12-Nov-14	460
Challenge of the week: identifying patterns in complex time series	http://www.datasciencecentral.com/forum/topics/challenge-of-the-week-identifying-patterns-in-complex-time-series	26-Sep-15	2118
Challenge of the Week: Interesting Recursive Formula	http://www.datasciencecentral.com/forum/topics/challenge-of-the-week-interesting-recursive-formula	15-Feb-16	186
"Chart: Marriage Discrimination, What does this mean?"	http://www.datasciencecentral.com/forum/topics/chart-marriage-discrimination-what-does-this-mean	8-Oct-14	430
Chart: Massive Innovations in Data Science yet to Come	http://www.datasciencecentral.com/forum/topics/chart-massive-innovations-in-data-science-yet-to-come	14-Sep-15	407
Chart: Salaries by Roles in Data Science	http://www.datasciencecentral.com/forum/topics/chart-salaries-by-roles-in-data-science	14-Sep-15	1994
